gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000007541,1664.596204,0.041861972,0.213283419,0.196273919,0.844395774,0.961341874
ENSG00000007545,456.6252882,0.092416736,0.229254287,0.403118898,0.686860759,0.920207285
ENSG00000007866,2121.016505,0.036333059,0.216616025,0.167730245,0.866795502,0.967445596
ENSG00000007908,0.138608914,-0.084584273,0.332044137,-0.254738043,0.798925431,NA
ENSG00000007923,2602.165296,-0.117486166,0.259813369,-0.45219446,0.651128899,0.909127752
ENSG00000007944,107.8839177,-0.947076516,0.415383651,-2.280004314,0.022607433,0.197350698
ENSG00000007952,3.220484671,-0.028848053,0.602624185,-0.047870719,0.961819275,NA
ENSG00000007968,61.75453343,0.594857124,0.432401027,1.375707011,0.168912361,0.581312107
ENSG00000008018,4198.399901,0.099642651,0.217120266,0.458928376,0.646285601,0.906821476
ENSG00000008056,19.75870484,1.717796447,0.53430753,3.214995766,0.001304464,0.025902008
ENSG00000008083,1846.235015,0.375777594,0.239853572,1.566695842,0.117185803,0.491134776
ENSG00000008086,460.3539137,-0.821860465,0.261667766,-3.140854821,0.001684555,0.031561242
ENSG00000008118,15.32481226,0.40794067,0.548574862,0.743637193,0.457095996,0.831903852
ENSG00000008128,36.20566039,0.181828437,0.45815415,0.396871746,0.69146204,0.923037692
ENSG00000008130,3202.73374,-0.246722303,0.200533164,-1.230331675,0.218572928,0.644102762
ENSG00000008196,24.37832529,-0.102771313,0.593534572,-0.173151351,0.862532462,0.966713574
ENSG00000008226,7.143589141,-0.587108498,0.604648708,-0.970991074,0.331552723,0.747858237
ENSG00000008256,3662.954703,-0.091467399,0.212670495,-0.430089748,0.667130357,0.914118815
ENSG00000008277,8.988045017,0.557062126,0.582146381,0.956910744,0.338612308,0.752824596
ENSG00000008282,3844.627246,0.081773553,0.223104346,0.36652604,0.713972585,0.929137986
ENSG00000008283,1329.525724,-0.274873048,0.244855316,-1.12259375,0.261610071,0.690886494
ENSG00000008294,6234.924354,-0.152394393,0.241848394,-0.630123653,0.528613686,0.864290576
ENSG00000008300,94.29751168,-0.653730936,0.341836986,-1.91240551,0.055824202,0.334789274
ENSG00000008311,278.7794372,0.849537193,0.338746014,2.507888381,0.012145503,0.131963901
ENSG00000008323,448.6630562,-0.471553926,0.407072833,-1.15840186,0.24670008,0.676439544
ENSG00000008324,357.5107933,0.19481895,0.265431263,0.73397138,0.462966181,0.834362538
ENSG00000008382,234.1391459,0.29951701,0.320799154,0.933658976,0.350479833,0.760779984
ENSG00000008394,4941.585091,-2.401322283,0.316946913,-7.576417954,3.55E-14,2.95E-11
ENSG00000008405,339.9690685,-1.627040644,0.316843744,-5.135151554,2.82E-07,2.75E-05
ENSG00000008438,1.454922399,-0.228082293,0.509566424,-0.447600709,0.654441391,NA
ENSG00000008441,3609.075165,0.121636943,0.348670098,0.348859693,0.727194647,0.933245581
ENSG00000008513,941.4397287,-0.981328319,0.359761767,-2.727717083,0.006377428,0.084011721
ENSG00000008516,31.00488674,-1.148874861,0.521908169,-2.201296951,0.027715009,0.224094647
ENSG00000008517,443.7950497,-1.57160038,0.604012926,-2.601931703,0.009270031,0.10943802
ENSG00000008710,2018.951917,0.22334776,0.243759688,0.916262086,0.359529448,0.76836447
ENSG00000008735,121.9383839,-0.907204346,0.451086275,-2.011154841,0.044309104,0.293663932
ENSG00000008838,2908.172556,0.238813757,0.244251381,0.977737593,0.328204124,0.745055208
ENSG00000008853,2351.305507,0.151519951,0.391922301,0.386607117,0.699047089,0.924856549
ENSG00000008869,1257.176359,0.021923682,0.230523069,0.095104068,0.924232167,0.98219036
ENSG00000008952,2673.536678,-0.315677349,0.267479944,-1.180190725,0.237924367,0.665390545
ENSG00000008988,23107.55277,0.177995906,0.309986171,0.574205955,0.56582844,0.879706417
ENSG00000009307,24389.07607,-0.006327544,0.219294231,-0.028854129,0.97698093,0.996632112
ENSG00000009335,8037.754805,-0.046083943,0.250421289,-0.184025658,0.853993326,0.963906551
