gene	SC1	SC2	SC3	SC4	SC5	SC6
ENSG00000036672	67	57	54	84	121	377
ENSG00000036828	3	0	0	0	0	5
ENSG00000037042	575	530	521	383	564	743
ENSG00000037241	611	550	625	517	566	337
ENSG00000037280	1	7	0	1	0	1
ENSG00000037474	5032	6578	4547	4304	4078	2875
ENSG00000037637	1150	1509	1193	1207	1317	981
ENSG00000037749	926	1386	763	984	717	762
ENSG00000037757	868	530	927	553	573	484
ENSG00000037897	329	404	394	480	371	164
ENSG00000037965	185	199	146	248	169	89
ENSG00000038002	406	495	442	599	622	377
ENSG00000038210	1555	1591	1573	955	1115	764
ENSG00000038219	3047	3673	2215	1963	2443	2881
ENSG00000038274	2458	2463	2743	2326	2091	1324
ENSG00000038295	49	98	170	79	101	155
ENSG00000038358	1673	1627	1704	1502	1331	830
ENSG00000038382	6432	10042	5258	6246	6608	4631
ENSG00000038427	619	1577	60	1948	95	459
ENSG00000038532	2018	2032	2089	2091	2003	1454
ENSG00000038945	1	0	0	0	0	0
ENSG00000039068	22288	25386	18186	20759	25188	16313
ENSG00000039123	2930	2954	2646	1584	1983	1533
ENSG00000039139	26	138	9	72	42	38
ENSG00000039319	1128	1424	865	528	819	1145
ENSG00000039523	1443	2838	1443	2463	1972	1762
ENSG00000039537	0	0	0	0	0	0
ENSG00000039560	3131	6908	2101	3168	2502	1546
ENSG00000039600	12	10	8	15	6	24
ENSG00000039650	1605	1025	2034	1155	1193	825
ENSG00000039987	1	7	9	15	2	12
ENSG00000040199	396	698	414	383	324	371
ENSG00000040275	699	542	617	316	257	299
ENSG00000040341	877	1341	826	913	871	815
ENSG00000040487	636	932	616	916	804	585
ENSG00000040531	841	729	810	745	730	415
ENSG00000040608	600	338	683	427	587	288
ENSG00000040633	1961	3674	2010	3024	2426	2174
ENSG00000040731	11	25	2	0	23	29
ENSG00000040933	1320	1598	1163	1097	1054	1349
ENSG00000041353	1202	1103	959	787	1263	1227
ENSG00000041357	5440	5776	5927	4466	4123	2964
ENSG00000041515	14	51	2	48	12	30
ENSG00000041802	1771	2093	2061	1978	1858	1035
ENSG00000041880	211	334	261	242	296	230
ENSG00000041982	3275	9125	547	5108	818	2177
ENSG00000041988	296	246	275	259	311	184
ENSG00000042062	46	28	28	6	23	14
ENSG00000042088	913	798	1375	1062	615	434
ENSG00000042286	346	397	361	312	290	294
ENSG00000042304	0	0	0	0	0	0
ENSG00000042317	156	193	168	137	177	146
ENSG00000042429	933	1260	997	928	855	831
ENSG00000042445	3287	3368	3130	3824	3755	2835
ENSG00000042493	10554	9689	16247	15032	14249	6101
ENSG00000042753	5584	5801	6691	6619	6199	4342
ENSG00000042781	2	3	1	4	0	9
ENSG00000042813	0	3	0	0	0	0
